"leitura","identidade","id_mandato","id_pessoa","sg_uf","fonte_atual","data_fim_atual","cargo_a","municipio_a","ano_a","nome_a","nasc_a","cargo_b","municipio_b","ano_b","nome_b","nasc_b","id_mandato_b","posse_b","data_posse_b","exercicio_b","fonte_exercicio_b","forma_b","mesmo_cpf","mesmo_titulo","mesmo_nasc","mesmo_nome","sapl_registros","sapl_titular","sapl_fim","sapl_legislatura_fim","sapl_afastamento","sapl_observacao","sapl_url","fim_da_casa_convencional"
"mesma_pessoa_casa_imprime_fim_convencional","documento_igual","M2020_59250_13_40100_190000985500","BOCEL0212248","RJ","sapl_municipal","2024-12-31","VEREADOR","VOLTA REDONDA","2020","JARI SIMÃO DE OLIVEIRA JUNIOR","18/05/1973","DEPUTADO ESTADUAL","RIO DE JANEIRO","2022","JARI SIMÃO DE OLIVEIRA JUNIOR","18/05/1973","M2022_RJ_7_40100_190001639134","2023-02-01","2023-02-01",NA,NA,"nao_observado",TRUE,TRUE,TRUE,TRUE,1,"FALSE","2024-12-31","2024-12-31","","","https://sapl.voltaredonda.rj.leg.br/api/parlamentares/mandato/47/",TRUE
"mesma_pessoa_casa_imprime_fim_convencional","documento_igual","M2012_17795_13_70123_200000008801","BOCEL0083877","RN","sapl_municipal","2016-12-31","VEREADOR","PARNAMIRIM","2012","CARLOS AUGUSTO DE PAIVA MAIA","24/09/1981","DEPUTADO ESTADUAL","RIO GRANDE DO NORTE","2014","CARLOS AUGUSTO DE PAIVA MAIA","24/09/1981","M2014_RN_7_70123_200000000297","2015-02-01","2015-02-01","2018-08-15","tse_reeleicao","nao_observado",NA,TRUE,TRUE,TRUE,1,"TRUE","2016-12-31","2016-12-31","","","https://sapl.parnamirim.rn.leg.br/api/parlamentares/mandato/76/",TRUE
"mesma_pessoa_casa_imprime_fim_convencional","documento_igual","M2016_17612_13_13123_200000011299","BOCEL0105991","RN","sapl_municipal","2020-12-31","VEREADOR","NATAL","2016","NATALIA BASTOS BONAVIDES","15/06/1988","DEPUTADO FEDERAL","RIO GRANDE DO NORTE","2018","NATALIA BASTOS BONAVIDES","15/06/1988","M2018_RN_6_1311_200000606739","2019-02-01","2019-02-01","2022-08-15","tse_reeleicao","fim_regular",TRUE,TRUE,TRUE,TRUE,1,"FALSE","2020-12-31","2020-12-31","","","https://sapl.natal.rn.leg.br/api/parlamentares/mandato/22/",TRUE
"mesma_pessoa_casa_imprime_fim_convencional","documento_igual","M2016_17612_13_15222_200000011654","BOCEL0043370","RN","sapl_municipal","2020-12-31","VEREADOR","NATAL","2016","UBALDO FERNANDES DA SILVA","16/05/1967","DEPUTADO ESTADUAL","RIO GRANDE DO NORTE","2018","UBALDO FERNANDES DA SILVA","16/05/1967","M2018_RN_7_36222_200000603519","2019-02-01","2019-02-01","2022-08-15","tse_reeleicao","nao_observado",TRUE,TRUE,TRUE,TRUE,1,"FALSE","2020-12-31","2020-12-31","","","https://sapl.natal.rn.leg.br/api/parlamentares/mandato/31/",TRUE
"mesma_pessoa_casa_imprime_fim_convencional","documento_igual","M2016_17612_13_77666_200000011591","BOCEL0080626","RN","sapl_municipal","2020-12-31","VEREADOR","NATAL","2016","EUDIANE JANAINA DE MACEDO SILVA","06/05/1980","DEPUTADO ESTADUAL","RIO GRANDE DO NORTE","2018","EUDIANE JANAINA DE MACEDO SILVA","06/05/1980","M2018_RN_7_36666_200000603516","2019-02-01","2019-02-01","2022-08-15","tse_reeleicao","nao_observado",TRUE,TRUE,TRUE,TRUE,1,"FALSE","2020-12-31","2020-12-31","","","https://sapl.natal.rn.leg.br/api/parlamentares/mandato/13/",TRUE
"mesma_pessoa_casa_imprime_fim_convencional","documento_igual","M2010_RO_7_40140_220000000140","BOCEL0003151","RO","assembleia_api","2015-01-31","DEPUTADO ESTADUAL","RONDÔNIA","2010","JESUALDO PIRES FERREIRA JUNIOR","22/04/1959","PREFEITO","JI-PARANÁ","2012","JESUALDO PIRES FERREIRA JUNIOR","23/04/1959","M2012_00051_11_40_220000000660","2013-01-01","2013-01-01","2016-08-15","ibge_munic;tse_reeleicao;ibge_munic_ampliado","fim_regular",NA,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
"mesma_pessoa_casa_imprime_fim_convencional","documento_igual","M2016_00035_13_14500_220000001503","BOCEL0046285","RO","sapl_municipal","","VEREADOR","PORTO VELHO","2016","MARCELO CRUZ DA SILVA","25/12/1982","DEPUTADO ESTADUAL","RONDÔNIA","2018","MARCELO CRUZ DA SILVA","25/12/1982","M2018_RO_7_14500_220000611859","2019-02-01","2019-02-01","2022-08-15","tse_reeleicao","fim_regular",TRUE,TRUE,TRUE,TRUE,1,"TRUE","NA","2020-12-31","Assumiu cargo eletivo no Legislativo Estadual","","https://sapl.portovelho.ro.leg.br/api/parlamentares/mandato/26/",FALSE
"mesma_pessoa_casa_imprime_fim_convencional","documento_igual","M2016_00051_13_12000_220000004581","BOCEL0063889","RO","sapl_municipal","2020-12-31","VEREADOR","JI-PARANÁ","2016","SILVIA CRISTINA AMÂNCIO CHAGAS","15/01/1974","DEPUTADO FEDERAL","RONDÔNIA","2018","SILVIA CRISTINA AMANCIO CHAGAS","15/01/1974","M2018_RO_6_1234_220000611027","2019-02-01","2019-02-01","2022-08-15","tse_reeleicao","fim_regular",TRUE,TRUE,TRUE,FALSE,1,"TRUE","2020-12-31","2020-12-31","","","https://sapl.jiparana.ro.leg.br/api/parlamentares/mandato/28/",TRUE
"mesma_pessoa_casa_imprime_fim_convencional","documento_igual","M2020_00051_13_25800_220001241964","BOCEL0064139","RO","sapl_municipal","2024-12-31","VEREADOR","JI-PARANÁ","2020","ALEXANDRO BARROSO DUARTE SANTANA","26/02/1991","DEPUTADO ESTADUAL","RONDÔNIA","2022","ALEXANDRO BARROSO DUARTE SANTANA","26/02/1991","M2022_RO_7_55800_220001643243","2023-02-01","2023-02-01",NA,NA,"nao_observado",TRUE,TRUE,TRUE,TRUE,1,"TRUE","2024-12-31","2024-12-31","","","https://sapl.jiparana.ro.leg.br/api/parlamentares/mandato/38/",TRUE
"mesma_pessoa_casa_imprime_fim_convencional","documento_igual","M2012_03018_13_15777_230000000113","BOCEL0009707","RR","sapl_municipal","2016-12-31","VEREADOR","BOA VISTA","2012","MASAMY EDA","01/10/1978","DEPUTADO ESTADUAL","RORAIMA","2014","MASAMY EDA","01/10/1978","M2014_RR_7_15777_230000000282","2015-02-01","2015-01-01",NA,NA,"outro",TRUE,TRUE,TRUE,TRUE,1,"TRUE","2016-12-31","2016-12-31","","","https://sapl.boavista.rr.leg.br/api/parlamentares/mandato/14/",TRUE
