"uf","sg_ue","ano_eleicao_bocel","nome_fonte","titular","id_mandato_sapl","url","observacao"
"CE","13897","2000","Raimundo Narcílio de Andrade","TRUE","155","https://sapl.fortaleza.ce.leg.br/api/parlamentares/mandato/155/","O Vereador é suplente."
"CE","13897","2000","Roberto Rios Nogueira","TRUE","164","https://sapl.fortaleza.ce.leg.br/api/parlamentares/mandato/164/","O Vereador é suplente"
"CE","13897","2000","Silvio Ernesto Veras Frota","TRUE","167","https://sapl.fortaleza.ce.leg.br/api/parlamentares/mandato/167/","O Vereador é Suplente."
"CE","13897","2004","Ageu da Costa Rodrigues","TRUE","95","https://sapl.fortaleza.ce.leg.br/api/parlamentares/mandato/95/","O Vereador era suplente."
"CE","13897","2004","Agostinho Frederico Carmo Gomes","TRUE","99","https://sapl.fortaleza.ce.leg.br/api/parlamentares/mandato/99/","O Vereador Tin Gomes foi Presidente da Câmara durante toda a 15ª Legislatura."
"CE","13897","2004","Antonio Augusto Moreira e Silva","TRUE","89","https://sapl.fortaleza.ce.leg.br/api/parlamentares/mandato/89/","O Vereador foi eleito Deputado Estadual nas eleições de 2006."
"CE","13897","2004","Casimiro Leite de Oliveira Neto","TRUE","134","https://sapl.fortaleza.ce.leg.br/api/parlamentares/mandato/134/","O Vereador é suplente."
"CE","13897","2004","Francisca Eliana Gomes dos Santos","TRUE","103","https://sapl.fortaleza.ce.leg.br/api/parlamentares/mandato/103/","A Vereadora Eliana assumiu ao mandato no lugar do Vereador Lula Morais que foi eleito Deputado Estadual nas eleições de 2006."
"CE","13897","2004","Francisco Addler Pinheiro Gomes","TRUE","175","https://sapl.fortaleza.ce.leg.br/api/parlamentares/mandato/175/","O Vereador é suplente."
"CE","13897","2004","Francisco Antônio Martins Nogueira","TRUE","82","https://sapl.fortaleza.ce.leg.br/api/parlamentares/mandato/82/","O Vereador era suplente."
"CE","13897","2004","Jadas Reis","TRUE","177","https://sapl.fortaleza.ce.leg.br/api/parlamentares/mandato/177/","O Vereador é suplente."
"CE","13897","2004","José Carlos Vasconcelos","TRUE","109","https://sapl.fortaleza.ce.leg.br/api/parlamentares/mandato/109/","O Vereador é suplente."
"CE","13897","2004","Luiz Carlos Andrade Morais","TRUE","102","https://sapl.fortaleza.ce.leg.br/api/parlamentares/mandato/102/","O Vereador Lula Morais foi eleito Deputado Estadual nas eleições de 2006 e em seu lugar assumiu o mandato a Vereadora Eliana Gomes."
"CE","13897","2004","Marcio Eduardo e Lima Lopes","TRUE","117","https://sapl.fortaleza.ce.leg.br/api/parlamentares/mandato/117/","O Vereador tornou-se titular quando o Vereador Augustinho Moreira foi eleito Deputado Estadual nas eleições de 2006."
"CE","13897","2004","Maria Amélia Bezerra de Moura Nunes","FALSE","112","https://sapl.fortaleza.ce.leg.br/api/parlamentares/mandato/112/","A Vereadora é Suplente."
"CE","13897","2004","Maria Magaly Marques Dantas","TRUE","78","https://sapl.fortaleza.ce.leg.br/api/parlamentares/mandato/78/","A Vereadora era suplente."
"CE","13897","2004","Paulo Barreto Ribeiro Mindêllo","TRUE","113","https://sapl.fortaleza.ce.leg.br/api/parlamentares/mandato/113/","O Vereador é Suplente."
"CE","13897","2004","Paulo de Tarso Campos Ferreira","TRUE","178","https://sapl.fortaleza.ce.leg.br/api/parlamentares/mandato/178/","O Vereador é suplente."
"CE","13897","2004","Raimundo Nonato Ferreira Aragão","TRUE","94","https://sapl.fortaleza.ce.leg.br/api/parlamentares/mandato/94/","O Vereador Ferreira ARagão foi eleito Deputado Estadual nas eleições de 2006."
"CE","13897","2004","Rogério de Alencar Araripe Pinheiro ","TRUE","116","https://sapl.fortaleza.ce.leg.br/api/parlamentares/mandato/116/","O Vereador é suplente."
"CE","13897","2008","Antônio Ronivaldo da Silva Maia","TRUE","36","https://sapl.fortaleza.ce.leg.br/api/parlamentares/mandato/36/","Líder do Governo Luizianne Lins na Câmara."
"CE","13897","2008","Eliane Novais Elutério Teixeira","TRUE","45","https://sapl.fortaleza.ce.leg.br/api/parlamentares/mandato/45/","A Vereadora Eliane Novais foi eleita Deputada Estadual nas Eleições de 2010."
"CE","13897","2008","Francisco Antônio Martins Nogueira","TRUE","32","https://sapl.fortaleza.ce.leg.br/api/parlamentares/mandato/32/","O Vereador assumiu ao mandato no lugar da Vereadora Eliane Novais que foi eleita Deputada Estadual."
"CE","13897","2008","Francisco Eron Mendes Moreira","TRUE","13","https://sapl.fortaleza.ce.leg.br/api/parlamentares/mandato/13/","O Vereador assumiu ao mandato na vaga do Vereador Roberto Mesquita que foi eleito Deputado Estadual."
"CE","13897","2008","Francisco Mangueira Sobrinho","TRUE","111","https://sapl.fortaleza.ce.leg.br/api/parlamentares/mandato/111/","O Vereador é suplente."
"CE","13897","2008","Francisco Wellington Sabóia Vitorino","TRUE","61","https://sapl.fortaleza.ce.leg.br/api/parlamentares/mandato/61/","O Vereador é suplente e assumiu ao mandato no lugar de Vereador Titular."
"CE","13897","2008","Francisco Willame Correia de Lima","TRUE","60","https://sapl.fortaleza.ce.leg.br/api/parlamentares/mandato/60/","O Vereador é suplente."
"CE","13897","2008","Gerôncio de Sousa Coelho","TRUE","35","https://sapl.fortaleza.ce.leg.br/api/parlamentares/mandato/35/","O Vereador assumiu ao mandato no lugar do Vereador Paulo Facó que foi eleito Deputado Estadual."
