ano_eleicao,leg,nome_grupo,nome_normalizado,id_mandato,id_pessoa,sq_cand,metodo,nome_completo,dt_nasc,partido_tse,k,k_pu,condicao
2018,"19","VINICIUS LOURO","VINICIUS LOURO","M2018_MA_7_22223_100000601740","BOCEL0149345","100000601740","nome_parlamentar_x_urna","MARCUS VINICIUS DE OLIVEIRA PEREIRA","1981-01-24","PR","VINICIUS LOURO","VINICIUS LOURO","titular"
2018,"19","WELLINGTON DO CURSO","WELLINGTON DO CURSO","M2018_MA_7_45111_100000612688","BOCEL0083368","100000612688","nome_parlamentar_x_urna","CARLOS WELLINGTON DE CASTRO BEZERRA","1970-09-27","PSDB","WELLINGTON DO CURSO","WELLINGTON CURSO","titular"
2018,"19","WENDELL LAGES","WENDEL LAGES","M2018_MA_7_33456_100000624110","BOCEL0186800","100000624110","nome_parlamentar_x_urna","WENDELL LAUANDE FONSECA LAGES BARBOSA","1990-07-11","PMN","WENDELL LAGES","WENDELL LAGES","titular"
2018,"19","WENDELL LAGES","WENDELL LAGES","M2018_MA_7_33456_100000624110","BOCEL0186800","100000624110","nome_parlamentar_x_urna","WENDELL LAUANDE FONSECA LAGES BARBOSA","1990-07-11","PMN","WENDELL LAGES","WENDELL LAGES","titular"
2018,"19","ZE GENTIL","ZE GENTIL","M2018_MA_7_10000_100000601733","BOCEL0008604","100000601733","nome_parlamentar_x_urna","JOSÉ GENTIL ROSA","1940-05-18","PRB","ZE GENTIL","ZE GENTIL","titular"
2018,"19","ZE INACIO LULA","ZE INACIO LULA","M2018_MA_7_13123_100000616300","BOCEL0104883","100000616300","urna_contida_no_nome_da_fonte","JOSE INACIO SODRE RODRIGUES","1973-08-21","PT","ZE INACIO LULA","ZE LULA","titular"
2018,"19","ZITO DO ROLIM","ZITO DO ROLIM",NA,NA,"100000601786","suplente_primeiro_ultimo_x_urna","JOSE ROLIM FILHO","08/10/1956",NA,"ZITO DO ROLIM","ZITO ROLIM","suplente"
2018,"19","ZITO DO ROLIM","ZITO ROLIM",NA,NA,"100000601786","suplente_primeiro_ultimo_x_urna","JOSE ROLIM FILHO","08/10/1956",NA,"ZITO DO ROLIM","ZITO ROLIM","suplente"
2022,"20","ABIGAIL","ABIGAIL","M2022_MA_7_22200_100001603152","BOCEL0029700","100001603152","nome_parlamentar_x_urna","ABIGAIL CUNHA DE ALMEIDA SOUSA","1967-01-05","PL","ABIGAIL",NA,"titular"
2022,"20","ABIGAIL CUNHA","ABIGAIL CUNHA",NA,NA,NA,NA,NA,NA,NA,"ABIGAIL CUNHA","ABIGAIL CUNHA","suplente"
2022,"20","ADELMO SOARES","ADELMO SOARES",NA,NA,"100001607087","suplente_nome_parlamentar_x_urna","ADELMO DE ANDRADE SOARES","08/04/1972",NA,"ADELMO SOARES","ADELMO SOARES","suplente"
2022,"20","ALAN DA MARISSOL","ALAN DA MARISOL",NA,NA,"100001608135","suplente_nome_parlamentar_x_urna","ALAN DOUGLAS DE OLIVEIRA","23/08/1981",NA,"ALAN DA MARISSOL","ALAN MARISSOL","suplente"
2022,"20","ALAN DA MARISSOL","ALAN DA MARISSOL",NA,NA,"100001608135","suplente_nome_parlamentar_x_urna","ALAN DOUGLAS DE OLIVEIRA","23/08/1981",NA,"ALAN DA MARISSOL","ALAN MARISSOL","suplente"
2022,"20","ALUIZIO SANTOS","ALUIZIO SANTOS","M2022_MA_7_22123_100001603187","BOCEL0128048","100001603187","nome_parlamentar_x_urna","ALUIZIO DE SOUZA SANTOS","1979-12-23","PL","ALUIZIO SANTOS","ALUIZIO SANTOS","titular"
2022,"20","ANA DO GAS","ANA DO GAS","M2022_MA_7_65000_100001613728","BOCEL0154440","100001613728","nome_parlamentar_x_urna","ANA DE NAZARÉ PEREIRA SILVA MACEDO MENDONÇA","1981-05-27","PC do B","ANA DO GAS","ANA GAS","titular"
2022,"20","ANDREIA MARTINS REZENDE","ANDREIA MARTINS REZENDE","M2022_MA_7_40123_100001607086","BOCEL0094713","100001607086","nome_parlamentar_x_urna","ANDREIA LOPES MARTINS REZENDE","1974-05-12","PSB","ANDREIA MARTINS REZENDE","ANDREIA REZENDE","titular"
2022,"20","ANTONIO PEREIRA","ANTONIO PEREIRA","M2022_MA_7_40333_100001607063","BOCEL0035207","100001607063","nome_parlamentar_x_urna","ANTONIO PEREIRA FILHO","1961-02-06","PSB","ANTONIO PEREIRA","ANTONIO PEREIRA","titular"
2022,"20","ARISTON","ARISTON","M2022_MA_7_40233_100001607069","BOCEL0023855","100001607069","tokens_contidos_na_urna","ARISTON RIBEIRO DE SOUSA","1964-12-08","PSB","ARISTON",NA,"titular"
