chave_cand,comp_raiz,id_pessoa_esperado,leitura_fusao
2000_75264_13_25610_277,r53471,BOCEL0135765,
2000_75264_13_25650_279,r53471,BOCEL1560877,
2000_75264_13_25668_273,r53471,BOCEL1560875,
2004_75264_13_25610_56,r53471,BOCEL0135765,
2004_75264_13_25668_60,r53471,BOCEL1560875,
2008_75264_12_45_28104,r53471,BOCEL1560875,
2008_75264_13_25610_27759,r53471,BOCEL0135765,
2012_75264_11_45_160000033349,r53471,BOCEL1560875,
2012_75264_13_25610_160000033328,r53471,BOCEL0135765,
2000_76015_13_25456_228,r54237,BOCEL1560650,
2004_76015_13_15555_230,r54237,BOCEL0103873,
2008_76015_13_15555_183,r54237,BOCEL0103873,
2000_07048_13_45678_243,r5457,BOCEL0071467,
2004_07048_11_15_310,r5457,BOCEL0071467,
2012_07048_13_43000_100000010411,r5457,BOCEL1560365,
2000_76694_13_15678_112,r54640,BOCEL1561052,
2000_76694_13_15789_111,r54640,BOCEL0159283,
2004_76694_13_25444_67,r54640,BOCEL0159283,
2008_76694_13_45666_36733,r54640,BOCEL0159283,
2000_76899_13_25123_75,r54762,BOCEL1560625,
2000_76899_13_25147_74,r54762,BOCEL0099620,
2004_76899_13_45147_41,r54762,BOCEL0099620,
2012_76899_13_40369_160000033921,r54762,BOCEL1560625,
2000_07099_13_14614_123,r5497,BOCEL0017246,
