id_mandato,esfera,forma_saida,fonte_forma_saida,data_posse,data_fim_efetiva,mandato_fim
M2000_23370_11_25_82,municipal,substituicao_inferida_munic,ibge_munic,2001-01-01,2004-12-31,2004-12-31
M2000_23590_11_40_144,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_23876_11_22_66,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_24155_11_45_181,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_24279_11_25_118,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_24350_11_40_183,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_24490_11_15_13,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_24554_11_15_134,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_24856_11_13_143,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_25194_11_15_153,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_25356_11_15_1,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_25550_11_40_61,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_25976_11_15_128,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_26034_11_15_61,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_26077_11_27_107,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_26336_11_40_162,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_27090_11_11_43,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_27138_11_40_167,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_27570_11_40_133,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_27871_11_25_101,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_27898_11_45_118,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_27995_11_12_64,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_28010_11_15_41,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_28231_11_15_61,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_28533_11_25_445,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_28614_11_22_202,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_28630_11_45_109,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_28657_11_40_51,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_28770_11_41_171,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_28851_11_15_142,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_30031_11_15_136,municipal,substituicao_inferida_munic,ibge_munic,2001-01-01,2004-12-31,2004-12-31
M2000_30830_11_14_249,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_31232_11_45_92,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_31356_11_15_128,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_31658_11_13_226,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_31674_11_45_121,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_31690_11_45_41,municipal,substituicao_inferida_munic,ibge_munic,2001-01-01,2004-12-31,2004-12-31
M2000_31895_11_45_81,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_32093_11_15_49,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_32115_11_15_141,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_33170_11_12_194,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_33197_11_14_152,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_33235_11_14_1,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_33260_11_25_74,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_33472_11_15_161,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_33677_11_11_141,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_34134_11_25_107,municipal,substituicao_inferida_munic,ibge_munic,2001-01-01,2004-12-31,2004-12-31
M2000_34355_11_22_135,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_34363_11_14_1,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_34371_11_41_263,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_34550_11_11_89,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_34673_11_11_41,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_34738_11_25_381,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_35254_11_14_201,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_35890_11_25_103,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_35955_11_17_89,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_36110_11_11_117,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_36153_11_36_474,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_36412_11_15_82,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_36676_11_25_217,municipal,substituicao_inferida_munic,ibge_munic,2001-01-01,2004-12-31,2004-12-31
M2000_36730_11_15_182,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_37010_11_45_203,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_37133_11_20_73,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_37176_11_14_114,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_37290_11_14_82,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_37419_11_22_173,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_37818_11_25_200,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_38032_11_14_83,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_38075_11_25_267,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_38792_11_22_105,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_39110_11_22_172,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_39578_11_25_101,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_39632_11_45_385,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_39659_11_13_101,municipal,substituicao_inferida_munic,ibge_munic,2001-01-01,2004-12-31,2004-12-31
M2000_39810_11_15_46,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_40126_11_41_262,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_40312_11_33_234,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_40509_11_23_144,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_40517_11_13_285,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_40630_11_25_238,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_40703_11_12_422,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_40860_11_41_665,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_41289_11_25_330,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_41327_11_11_243,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_41343_11_45_319,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_41483_11_41_313,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_41661_11_15_140,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_41874_11_41_397,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_41912_11_15_181,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_42013_11_15_352,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_42137_11_22_124,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_42170_11_45_205,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_42358_11_45_222,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_42455_11_45_82,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_42510_11_11_226,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_42595_11_15_253,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_42714_11_45_21,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_42838_11_23_121,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_42897_11_45_341,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_42935_11_14_284,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_43559_11_15_192,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_43753_11_14_161,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_43796_11_45_129,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_43850_11_25_289,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_44113_11_25_253,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_44199_11_12_411,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_45195_11_14_613,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_45250_11_14_82,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_45632_11_15_356,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_45659_11_15_121,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_45993_11_15_164,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_46078_11_25_261,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_46175_11_25_524,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_46493_11_13_325,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_46612_11_12_94,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_46892_11_14_528,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_46957_11_45_60,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_47031_11_25_540,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_47279_11_11_181,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_47457_11_25_301,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_47716_11_15_257,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_47996_11_15_323,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_48216_11_33_524,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_48798_11_25_151,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_48852_11_22_202,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_48895_11_14_562,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_48933_11_25_41,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_49751_11_12_209,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
M2000_50296_11_11_192,municipal,substituicao_inferida_munic,ibge_munic,,2004-12-31,2004-12-31
