id_mandato,sg_uf,sg_ue,cargo,ano_eleicao,forma_saida,fonte_forma_saida
"M2020_20290_11_12_150000730954","PB","20290","PREFEITO","2020","fim_regular","tce"
"M2012_20311_11_20_150000005503","PB","20311","PREFEITO","2012","fim_regular","tce"
"M2016_20311_11_20_150000011989","PB","20311","PREFEITO","2016","fim_regular","tce"
"M2020_20311_11_10_150000924487","PB","20311","PREFEITO","2020","fim_regular","tce"
"M2016_20338_11_40_150000009865","PB","20338","PREFEITO","2016","fim_regular","tce"
"M2020_20338_11_23_150000717485","PB","20338","PREFEITO","2020","fim_regular","tce"
"M2012_20354_11_55_150000001548","PB","20354","PREFEITO","2012","fim_regular","tce"
"M2016_20354_11_55_150000005079","PB","20354","PREFEITO","2016","fim_regular","tce"
"M2020_20354_11_55_150000832078","PB","20354","PREFEITO","2020","fim_regular","tce"
"M2012_20370_11_55_150000007749","PB","20370","PREFEITO","2012","fim_regular","tce"
"M2016_20370_11_55_150000005365","PB","20370","PREFEITO","2016","outro","tce"
"M2020_20370_11_12_150000872822","PB","20370","PREFEITO","2020","fim_regular","tce"
"M2012_20397_11_15_150000012735","PB","20397","PREFEITO","2012","fim_regular","tce"
"M2016_20397_11_40_150000008242","PB","20397","PREFEITO","2016","fim_regular","tce"
"M2020_20397_11_23_150000813592","PB","20397","PREFEITO","2020","fim_regular","tce"
"M2012_20419_11_14_150000006139","PB","20419","PREFEITO","2012","fim_regular","tce"
"M2016_20419_11_15_150000005155","PB","20419","PREFEITO","2016","fim_regular","tce"
"M2020_20419_11_25_150001075040","PB","20419","PREFEITO","2020","fim_regular","tce"
"M2012_20435_11_25_150000012636","PB","20435","PREFEITO","2012","fim_regular","tce"
"M2016_20435_11_25_150000007140","PB","20435","PREFEITO","2016","fim_regular","tce"
"M2020_20435_11_25_150000781631","PB","20435","PREFEITO","2020","fim_regular","tce"
"M2012_20451_11_15_150000000278","PB","20451","PREFEITO","2012","fim_regular","tce"
"M2016_20451_11_40_150000006479","PB","20451","PREFEITO","2016","fim_regular","tce"
