legislatura,nome,n_datas,n_vocabulos,primeira,ultima
18,NO FORTALECIMENTO DOS PRINCÍPIOS MUTUALISTAS,1,3,2017-11-23,2017-11-23
18,ASSOCIATIVOS DAS PESSOAS FÍSICAS,1,3,2017-11-23,2017-11-23
18,JURÍDICAS,1,1,2017-11-23,2017-11-23
18,ADMINISTRATIVO,1,1,2017-11-29,2017-11-29
18,SANITÁRIO JOSUÉ DE CASTRO,1,3,2017-11-29,2017-11-29
18,ZUMBI DOS PALMARES,1,2,2017-11-29,2017-11-29
18,NA QUALIDADE DE AUTORES DAS INDICAÇÕES,1,3,2017-11-29,2017-11-29
18,A ROBERTO MAGALHÃES MELO,1,3,2017-11-29,2017-11-29
18,VALDEIR DE ANDRADE BATISTA,1,3,2017-11-29,2017-11-29
18,VERA LÚCIA LINS DE MORAIS,1,4,2017-11-29,2017-11-29
18,ROBERTO MAGALHÃES,1,2,2017-11-29,2017-11-29
18,GENERAL-DE-EXÉRCITO ARTUR COSTA MOURA,1,5,2017-11-29,2017-11-29
18,COMANDANTE MILITAR DO NORDESTE,2,3,2017-11-29,2018-04-02
18,COMANDANTE DO II COMAR,1,2,2017-11-29,2017-11-29
18,VERDADE DOM HÉLDER CÂMARA,1,4,2017-12-04,2017-12-04
18,DOM FERNANDO SABURIDO,1,3,2017-12-11,2017-12-11
18,ARCEBISPO DE OLINDA,1,2,2017-12-11,2017-12-11
18,ANÍSIO BRASILEIRO,1,2,2017-12-11,2017-12-11
18,VEREADOR EDUARDO MARQUES,2,3,2017-12-11,2018-04-02
18,LUCIANO SIQUEIRA,1,2,2017-12-11,2017-12-11
18,CACIQUE CHICÃO IN MEMORIAM,1,3,2018-03-20,2018-03-20
18,CORONÉIS CARLOS HENRIQUE DA SILVA MACHADO,1,5,2018-04-02,2018-04-02
18,ALEXANDRE OLIVEIRA,1,2,2018-04-02,2018-04-02
18,BRIGADEIRO-DO-AR JOSUÉ WALCIR,1,3,2018-04-02,2018-04-02
18,CONTROLE DE TRÁFEGO AÉREO,1,3,2018-04-02,2018-04-02
18,JOÃO CAMPOS,1,2,2018-04-02,2018-04-02
18,DESEMBARGADORES ADALBERTO DE OLIVEIRA MELO,1,4,2018-04-02,2018-04-02
18,IVAN DE SOUZA VALENÇA,1,3,2018-04-02,2018-04-02
18,PRIMEIRA EDIÇÃO,1,2,2018-04-24,2018-04-24
18,AOS PAÍSES REPÚBLICA FEDERAL DA ALEMANHA,1,5,2018-04-24,2018-04-24
18,DO JAPÃO,1,1,2018-04-24,2018-04-24
18,GIOVANI ANDRADAOLIVEIRA,1,2,2018-04-24,2018-04-24
18,SIMONE SANTANAE TERESALEITÃO,1,3,2018-04-25,2018-04-25
18,DELMIRO DANTAS CAMPOS NETO,1,4,2018-06-05,2018-06-05
18,DESEMBARGADOR ADALBERTO DE OLIVEIRA MELO,1,4,2018-06-05,2018-06-05
18,FÁBIO MARTINS GOUVEIA,1,3,2018-06-06,2018-06-06
18,COMPOSITOR PETRÚCIO AMORIM,1,3,2018-09-19,2018-09-19
18,DE RESSEGUROS,1,1,2018-09-24,2018-09-24
18,DE CAPITALIZAÇÃO,1,1,2018-09-24,2018-09-24
