statement,qid,nome_wikidata,dt_nascimento,nome_bocel,nasc_bocel,tipo_div,cargo,uf,inicio,tipo_pareamento,url
Q122890928-6a1f1c8d-460a-2188-fe53-b2f222eed898,Q122890928,Joélcio Martins,1941-03-12,JOÉLCIO MARTINS DA SILVA,1941-12-03,dia_mes_trocados,DEPUTADO ESTADUAL,BA,2007-02-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q122890928
Q48946705-D89D361E-A76D-4052-AF94-CF280427CB97,Q48946705,Janilson Leite,1978-01-01,JANILSON LOPES LEITE ,1978-01-02,wikidata_so_ano,DEPUTADO ESTADUAL,AC,2015-01-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q48946705
Q25176041-4E56A696-B0B9-49FA-AB3B-22E0DE285D0A,Q25176041,Ronaldo Carletto,1960-06-05,RONALDO CARLETTO,1960-01-05,mesmo_ano_outro_dia,DEPUTADO ESTADUAL,BA,2003-02-01,nome+uf+cargo+ano,https://www.wikidata.org/wiki/Q25176041
Q25176041-86735B6E-1B1D-484D-B41E-4F80461D2EFB,Q25176041,Ronaldo Carletto,1960-06-05,RONALDO CARLETTO,1960-01-05,mesmo_ano_outro_dia,DEPUTADO ESTADUAL,BA,2007-02-01,nome+uf+cargo+ano,https://www.wikidata.org/wiki/Q25176041
Q25176041-F3AECEBB-828C-406A-9F06-C914F4ECA968,Q25176041,Ronaldo Carletto,1960-06-05,RONALDO CARLETTO,1960-01-05,mesmo_ano_outro_dia,DEPUTADO ESTADUAL,BA,2011-02-01,nome+uf+cargo+ano,https://www.wikidata.org/wiki/Q25176041
Q111507-82FB04C9-BEC1-47DE-B827-0D90EF307410,Q111507,Amazonino Mendes,1939-11-16,AMAZONINO ARMANDO MENDES,1939-11-19,mesmo_ano_outro_dia,GOVERNADOR,AM,1999-01-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q111507
Q48946774-62A029A6-BE4C-46D3-8E5A-C3B8055ABCEB,Q48946774,Nicolau Júnior,1984-01-01,NICOLAU CANDIDO DA SILVA JUNIOR,1984-09-08,wikidata_so_ano,DEPUTADO ESTADUAL,AC,2015-01-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q48946774
Q59284437-884bedd8-424b-f65b-e474-fa732b0ba3b9,Q59284437,Darci Piana,1941-01-01,DARCI PIANA,1941-12-24,wikidata_so_ano,VICE-GOVERNADOR,PR,2019-01-01,nome+uf+cargo+ano,https://www.wikidata.org/wiki/Q59284437
Q59284437-a0d1b475-4f1b-5798-9d43-2891c0c66fff,Q59284437,Darci Piana,1941-01-01,DARCI PIANA,1941-12-24,wikidata_so_ano,VICE-GOVERNADOR,PR,2023-01-01,nome+uf+cargo+ano,https://www.wikidata.org/wiki/Q59284437
Q59204024-d35d8d46-4b76-12d6-a439-5efdce02ed44,Q59204024,Marcelo Nilo,1955-01-01,JOSÉ MARCELO DO NASCIMENTO NILO,1955-04-26,wikidata_so_ano,DEPUTADO ESTADUAL,BA,1999-02-01,tokens_rotulo+uf+cargo+ano,https://www.wikidata.org/wiki/Q59204024
