ano_eleicao,nome,condicao,forma_saida,data_inicio_exercicio,data_fim_exercicio,id_mandato_bocel,metodo_pareamento,id_fonte
2018,Plauto Miró,titular,fim_regular,2019-02-01,2023-01-31,M2018_PR_7_25110_160000623291,primeiro_vocabulo_x_urna,2019-02-11_9485.pdf
2018,Professor Lemos,titular,fim_regular,2019-02-01,2023-01-31,M2018_PR_7_13013_160000623027,nome_parlamentar_x_urna,2019-02-11_9485.pdf
2018,Reichembach,titular,fim_regular,2019-02-01,2023-01-31,M2018_PR_7_20012_160000619842,nome_parlamentar_x_urna,2019-02-11_9485.pdf
2018,Requião Filho,titular,fim_regular,2019-02-01,2023-01-31,M2018_PR_7_15151_160000612511,nome_parlamentar_x_urna,2019-02-11_9485.pdf
2018,Ricardo Arruda,titular,fim_regular,2019-02-01,2023-01-31,M2018_PR_7_17123_160000626013,ultimo_vocabulo_x_urna,2019-02-11_9485.pdf
2018,Rodrigo Estacho,titular,fim_regular,2019-02-01,2023-01-31,M2018_PR_7_43042_160000612869,ultimo_vocabulo_x_urna,2019-02-11_9485.pdf
2018,Soldado Adriano José,titular,fim_regular,2019-02-01,2023-01-31,M2018_PR_7_43900_160000612863,nome_parlamentar_x_urna,2019-02-11_9485.pdf
2018,Soldado Fruet,titular,fim_regular,2019-02-01,2023-01-31,M2018_PR_7_90181_160000622306,nome_parlamentar_x_urna,2019-02-11_9485.pdf
2018,Subtenente Everton,suplente,suplente_efetivado,2019-02-11,2021-10-25,,,2019-02-11_9485.pdf
2018,Tadeu Veneri,titular,fim_regular,2019-02-01,2023-01-31,M2018_PR_7_13131_160000623025,nome_parlamentar_x_urna,2019-02-11_9485.pdf
2018,Tercilio Turini,titular,outro,2019-02-01,2022-03-28,M2018_PR_7_23043_160000624249,nome_parlamentar_x_urna,2019-02-11_9485.pdf
2018,TercílioTurini,suplente,suplente_efetivado,2022-04-18,2023-01-31,,,2022-04-18_12714.pdf
2018,Tiago Amaral,titular,fim_regular,2019-02-01,2023-01-31,M2018_PR_7_40123_160000623313,nome_parlamentar_x_urna,2019-02-11_9485.pdf
2018,Tião Medeiros,titular,fim_regular,2019-02-01,2023-01-31,M2018_PR_7_14789_160000623281,nome_parlamentar_x_urna,2019-02-11_9485.pdf
2022,Adão Fernandes Litro,titular,nao_observado,2023-02-01,,M2022_PR_7_55125_160001739397,nome_parlamentar_x_urna,2023-02-13_13525.pdf
2022,Ademar Luiz Traiano,titular,nao_observado,2023-02-01,,M2022_PR_7_55789_160001623113,nome_parlamentar_x_nome_bocel,2023-02-13_13525.pdf
2022,Alexandre Amaro,titular,nao_observado,2023-02-01,,M2022_PR_7_10123_160001716131,nome_parlamentar_x_urna,2023-02-13_13525.pdf
2022,Alexandre Curi,titular,nao_observado,2023-02-01,,M2022_PR_7_55128_160001623100,nome_parlamentar_x_urna,2023-02-13_13525.pdf
2022,Alisson Wandscheer,titular,nao_observado,2023-02-01,,M2022_PR_7_90000_160001622180,nome_parlamentar_x_urna,2023-02-13_13525.pdf
2022,Ana Júlia Ribeiro,titular,nao_observado,2023-02-01,,M2022_PR_7_13213_160001615024,primeiro_ultimo_x_nome_bocel,2023-02-13_13525.pdf
2022,Anibelli Netol,titular,nao_observado,2023-02-01,,M2022_PR_7_15190_160001614823,nome_parlamentar_x_urna,2023-02-13_13525.pdf
2022,Arilson Chiorato,titular,nao_observado,2023-02-01,,M2022_PR_7_13000_160001615010,nome_parlamentar_x_urna,2023-02-13_13525.pdf
2022,Artagão Junior,titular,nao_observado,2023-02-01,,M2022_PR_7_55015_160001623107,nome_parlamentar_x_urna,2023-02-13_13525.pdf
2022,Batatinha,titular,nao_observado,2023-02-01,,M2022_PR_7_15000_160001614852,nome_parlamentar_x_urna,2023-02-13_13525.pdf
2022,Brasil,suplente,suplente_efetivado,2023-02-13,2026-04-10,,,2023-02-13_13525.pdf
2022,Cantora Mara Lima,titular,nao_observado,2023-02-01,,M2022_PR_7_10456_160001716141,nome_parlamentar_x_urna,2023-02-13_13525.pdf
2022,Cloara Pinheiro,titular,nao_observado,2023-02-01,,M2022_PR_7_55500_160001623106,nome_parlamentar_x_urna,2023-02-13_13525.pdf
2022,Cobra Reporter,titular,nao_observado,2023-02-01,,M2022_PR_7_55055_160001623099,nome_parlamentar_x_urna,2023-02-13_13525.pdf
2022,Cristina Silvestri,titular,nao_observado,2023-02-01,,M2022_PR_7_45234_160001612397,nome_parlamentar_x_urna,2023-02-13_13525.pdf
2022,Delegado Jacovós,titular,nao_observado,2023-02-01,,M2022_PR_7_22038_160001654963,nome_parlamentar_x_urna,2023-02-13_13525.pdf
2022,Denian Couto,titular,nao_observado,2023-02-01,,M2022_PR_7_19019_160001622216,nome_parlamentar_x_urna,2023-02-13_13525.pdf
2022,Do Carmo,titular,nao_observado,,,M2022_PR_7_44222_160001716000,nome_parlamentar_x_urna,do-carmo
2022,Douglas Fabricio,titular,renuncia,2023-02-01,2024-12-30,M2022_PR_7_23600_160001612410,nome_parlamentar_x_urna,2024-12-30_15550_1809392.html
2022,Doutor Antenor,nao_informado,nao_observado,,,,,doutor-antenor
2022,Dr. Antenor,titular,nao_observado,2023-02-01,,M2022_PR_7_13500_160001614994,nome_parlamentar_x_urna,2023-02-13_13525.pdf
2022,Dr. Leônidas,nao_informado,nao_observado,,,,,dr-leonidas
2022,Evandro Araújo,titular,nao_observado,2023-02-01,,M2022_PR_7_55120_160001623098,nome_parlamentar_x_urna,2023-02-13_13525.pdf
2022,Fábio de Oliveira,titular,nao_observado,2023-02-01,,M2022_PR_7_19190_160001622206,nome_parlamentar_x_urna,2023-02-13_13525.pdf
2022,Flávia Francischini,titular,nao_observado,2023-02-01,,M2022_PR_7_44444_160001716023,nome_parlamentar_x_urna,2023-02-13_13525.pdf
2022,Gilberto Ribeiro,titular,nao_observado,2023-02-01,,M2022_PR_7_22222_160001654969,nome_parlamentar_x_urna,2023-02-13_13525.pdf
2022,Gilson de Souza,titular,nao_observado,2023-02-01,,M2022_PR_7_22422_160001654944,nome_parlamentar_x_urna,2023-02-13_13525.pdf
2022,Goura,titular,nao_observado,2023-02-01,,M2022_PR_7_12108_160001623073,nome_parlamentar_x_urna,2023-02-13_13525.pdf
2022,Gugu Bueno,titular,nao_observado,2023-02-01,,M2022_PR_7_55022_160001623097,nome_parlamentar_x_urna,2023-02-13_13525.pdf
2022,Hussein Bakri,titular,nao_observado,2023-02-01,,M2022_PR_7_55888_160001623131,nome_parlamentar_x_urna,2023-02-13_13525.pdf
2022,Jairo Tamura,suplente,suplente_efetivado,2025-01-20,,,,2025-01-20_15540.pdf
2022,Leônidas Favero Neto,suplente,suplente_efetivado,2025-01-20,,,,2025-01-20_15540.pdf
2022,Luciana Rafagnin,titular,nao_observado,2023-02-01,,M2022_PR_7_13233_160001615035,nome_parlamentar_x_urna,2023-02-13_13525.pdf
2022,Luis Cortil,titular,nao_observado,2023-02-01,,M2022_PR_7_40123_160001621887,nome_parlamentar_x_urna,2023-02-13_13525.pdf
2022,Luiz Claudio Romanelli,titular,nao_observado,2023-02-01,,M2022_PR_7_55678_160001623125,nome_parlamentar_x_nome_bocel,2023-02-13_13525.pdf
2022,Luiz Fernando Guerra,titular,nao_observado,2023-02-01,,M2022_PR_7_44044_160001716035,nome_parlamentar_x_urna,2023-02-13_13525.pdf
2022,Mabel Canto,titular,nao_observado,2023-02-01,,M2022_PR_7_45678_160001612405,nome_parlamentar_x_urna,2023-02-13_13525.pdf
2022,Marcel Micheletto,titular,renuncia,2023-02-01,2024-12-30,M2022_PR_7_22000_160001654935,nome_parlamentar_x_urna,2024-12-30_15550_1809394.html
2022,Marcelo Rangel,titular,nao_observado,2023-02-01,,M2022_PR_7_55100_160001623135,nome_parlamentar_x_urna,2023-02-13_13525.pdf
2022,Marcia Huçulak,suplente,suplente_efetivado,2023-02-13,2025-07-30,,,2023-02-13_13525.pdf
2022,Márcio Nunes,titular,nao_observado,2023-02-01,,M2022_PR_7_55123_160001623126,nome_parlamentar_x_urna,2023-02-13_13525.pdf
2022,Marcio Pacheco,titular,nao_observado,2023-02-01,,M2022_PR_7_10100_160001716110,nome_parlamentar_x_urna,2023-02-13_13525.pdf
2022,Maria Victória,titular,nao_observado,2023-02-01,,M2022_PR_7_11511_160001603357,nome_parlamentar_x_urna,2023-02-13_13525.pdf
2022,Marli Paulino,titular,nao_observado,2023-02-01,,M2022_PR_7_77500_160001614782,nome_parlamentar_x_urna,2023-02-13_13525.pdf
2022,Matheus Vermelho,titular,nao_observado,2023-02-01,,M2022_PR_7_11888_160001603347,nome_parlamentar_x_urna,2023-02-13_13525.pdf
2022,Mauro Moraes,titular,nao_observado,2025-04-16,,M2022_PR_7_44655_160001716038,nome_parlamentar_x_urna,2025-04-16_15736.pdf
2022,Moacyr Fadel,titular,nao_observado,2023-02-01,,M2022_PR_7_55455_160001623103,nome_parlamentar_x_urna,2023-02-13_13525.pdf
2022,Nelson Justus,suplente,suplente_efetivado,2023-02-13,2026-04-10,,,2023-02-06_13520_1523393.html
2022,Ney Leprevost,titular,nao_observado,2023-02-01,,M2022_PR_7_44669_160001716007,nome_parlamentar_x_urna,2023-02-13_13525.pdf
2022,Paulo Gomes TV,titular,nao_observado,2023-02-01,,M2022_PR_7_11011_160001603358,primeiro_ultimo_x_urna,2023-02-13_13525.pdf
2022,Pedro Paulo Bazana,suplente,suplente_efetivado,2023-03-06,,,,2023-03-06_13642.pdf
2022,Professor Lemos,titular,nao_observado,2023-02-01,,M2022_PR_7_13013_160001615032,nome_parlamentar_x_urna,2023-02-13_13525.pdf
2022,Renato Freitas,titular,nao_observado,2023-02-01,,M2022_PR_7_13123_160001615007,nome_parlamentar_x_urna,2023-02-13_13525.pdf
2022,Requião Filho,titular,nao_observado,2023-02-01,,M2022_PR_7_13131_160001615006,nome_parlamentar_x_urna,2023-02-13_13525.pdf
2022,Ricardo Arruda,titular,nao_observado,2023-02-01,,M2022_PR_7_22022_160001654970,nome_parlamentar_x_urna,2023-02-13_13525.pdf
2022,Samuel Dantas,titular,nao_observado,2023-02-01,,M2022_PR_7_90190_160001622185,nome_parlamentar_x_urna,2023-02-13_13525.pdf
2022,Secretária Márcia,titular,nao_observado,,,M2022_PR_7_55555_160001623109,nome_parlamentar_x_urna,marcia-huculak
2022,Soldado Adriano José,titular,nao_observado,2023-02-01,,M2022_PR_7_11900_160001603349,nome_parlamentar_x_urna,2023-02-13_13525.pdf
2022,Tercilio Turini,titular,nao_observado,2023-02-01,,M2022_PR_7_55043_160001623105,nome_parlamentar_x_urna,2023-02-13_13525.pdf
2022,Thiago Bührer,titular,nao_observado,2023-02-01,,M2022_PR_7_44333_160001716016,nome_parlamentar_x_urna,2023-02-13_13525.pdf
2022,Tiago Amaral,titular,renuncia,2023-02-01,2024-12-30,M2022_PR_7_55155_160001623115,nome_parlamentar_x_urna,2024-12-30_15550_1809395.html
2022,Tito Barichello,titular,nao_observado,2023-02-01,,M2022_PR_7_44181_160001716002,primeiro_ultimo_x_nome_bocel,2023-02-13_13525.pdf
2022,Wilmar Reichembach,suplente,suplente_efetivado,2023-03-06,2026-03-20,,,2023-03-06_13642.pdf
