"tabela","id_mandato","sg_uf","ano_eleicao","cargo","nome","forma","url_1","tipo_1","url_2","tipo_2","tipo_declarado","tem_oficial","tem_noticia_oficial","so_imprensa_ou_referencia","melhor_tipo"
"eventos_assembleias_fonte_oficial.csv",NA,"DF","1998","DEPUTADO ESTADUAL/DISTRITAL","Nijed Zakhour","efetivacao_suplente","https://www.cl.df.gov.br/documents/5744400/28266712/Deputados+eleitos+e+movimenta%C3%A7%C3%B5es+-+Planilha.xlsx/11f0b744-a69c-bdd1-0437-8d60fc2cf148?t=1740145715216","oficial",NA,NA,"memorial_casa",TRUE,FALSE,FALSE,"oficial"
"eventos_assembleias_fonte_oficial.csv","M2002_DF_8_11122_731","DF","2002","DEPUTADO ESTADUAL/DISTRITAL","Wigberto Tartuce","licenca","https://www.cl.df.gov.br/documents/5744400/28266712/Deputados+eleitos+e+movimenta%C3%A7%C3%B5es+-+Planilha.xlsx/11f0b744-a69c-bdd1-0437-8d60fc2cf148?t=1740145715216","oficial",NA,NA,"memorial_casa",TRUE,FALSE,FALSE,"oficial"
"eventos_assembleias_fonte_oficial.csv","M2002_DF_8_11122_731","DF","2002","DEPUTADO ESTADUAL/DISTRITAL","Wigberto Tartuce","licenca","https://www.cl.df.gov.br/documents/5744400/28266712/Deputados+eleitos+e+movimenta%C3%A7%C3%B5es+-+Planilha.xlsx/11f0b744-a69c-bdd1-0437-8d60fc2cf148?t=1740145715216","oficial",NA,NA,"memorial_casa",TRUE,FALSE,FALSE,"oficial"
"eventos_assembleias_fonte_oficial.csv","M2002_DF_8_11122_731","DF","2002","DEPUTADO ESTADUAL/DISTRITAL","Wigberto Tartuce","licenca","https://www.cl.df.gov.br/documents/5744400/28266712/Deputados+eleitos+e+movimenta%C3%A7%C3%B5es+-+Planilha.xlsx/11f0b744-a69c-bdd1-0437-8d60fc2cf148?t=1740145715216","oficial",NA,NA,"memorial_casa",TRUE,FALSE,FALSE,"oficial"
"eventos_assembleias_fonte_oficial.csv","M2002_DF_8_11122_731","DF","2002","DEPUTADO ESTADUAL/DISTRITAL","Wigberto Tartuce","licenca","https://www.cl.df.gov.br/documents/5744400/28266712/Deputados+eleitos+e+movimenta%C3%A7%C3%B5es+-+Planilha.xlsx/11f0b744-a69c-bdd1-0437-8d60fc2cf148?t=1740145715216","oficial",NA,NA,"memorial_casa",TRUE,FALSE,FALSE,"oficial"
"eventos_assembleias_fonte_oficial.csv","M2002_DF_8_11122_731","DF","2002","DEPUTADO ESTADUAL/DISTRITAL","Wigberto Tartuce","retorno","https://www.cl.df.gov.br/documents/5744400/28266712/Deputados+eleitos+e+movimenta%C3%A7%C3%B5es+-+Planilha.xlsx/11f0b744-a69c-bdd1-0437-8d60fc2cf148?t=1740145715216","oficial",NA,NA,"memorial_casa",TRUE,FALSE,FALSE,"oficial"
"eventos_assembleias_fonte_oficial.csv","M2002_DF_8_15151_631","DF","2002","DEPUTADO ESTADUAL/DISTRITAL","Gim Argello","licenca","https://www.cl.df.gov.br/documents/5744400/28266712/Deputados+eleitos+e+movimenta%C3%A7%C3%B5es+-+Planilha.xlsx/11f0b744-a69c-bdd1-0437-8d60fc2cf148?t=1740145715216","oficial",NA,NA,"memorial_casa",TRUE,FALSE,FALSE,"oficial"
"eventos_assembleias_fonte_oficial.csv","M2002_DF_8_15151_631","DF","2002","DEPUTADO ESTADUAL/DISTRITAL","Gim Argello","retorno","https://www.cl.df.gov.br/documents/5744400/28266712/Deputados+eleitos+e+movimenta%C3%A7%C3%B5es+-+Planilha.xlsx/11f0b744-a69c-bdd1-0437-8d60fc2cf148?t=1740145715216","oficial",NA,NA,"memorial_casa",TRUE,FALSE,FALSE,"oficial"
"eventos_assembleias_fonte_oficial.csv","M2002_DF_8_15222_594","DF","2002","DEPUTADO ESTADUAL/DISTRITAL","Leonardo Prudente","licenca","https://www.cl.df.gov.br/documents/5744400/28266712/Deputados+eleitos+e+movimenta%C3%A7%C3%B5es+-+Planilha.xlsx/11f0b744-a69c-bdd1-0437-8d60fc2cf148?t=1740145715216","oficial",NA,NA,"memorial_casa",TRUE,FALSE,FALSE,"oficial"
"eventos_assembleias_fonte_oficial.csv","M2002_DF_8_15222_594","DF","2002","DEPUTADO ESTADUAL/DISTRITAL","Leonardo Prudente","retorno","https://www.cl.df.gov.br/documents/5744400/28266712/Deputados+eleitos+e+movimenta%C3%A7%C3%B5es+-+Planilha.xlsx/11f0b744-a69c-bdd1-0437-8d60fc2cf148?t=1740145715216","oficial",NA,NA,"memorial_casa",TRUE,FALSE,FALSE,"oficial"
