legislatura,nome,forma_saida,data_fim_exercicio,causa_original,url
12,Dani Monteiro,fim_regular,2023-01-31,"Em exercicio (ALERJ, Deputados/QuemSao, 12a Legislatura, situacaoDeputado=1)",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=19&situacaoDeputado=1 ; https://www2.alerj.rj.gov.br/biblioteca/assets/documentos/pdf/legislaturas/deputados/12aLegislatura.pdf
12,Danniel Librelon,fim_regular,2023-01-31,"Em exercicio (ALERJ, Deputados/QuemSao, 12a Legislatura, situacaoDeputado=1)",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=19&situacaoDeputado=1 ; https://www2.alerj.rj.gov.br/biblioteca/assets/documentos/pdf/legislaturas/deputados/12aLegislatura.pdf
12,Delegado Carlos Augusto,fim_regular,2023-01-31,"Em exercicio (ALERJ, Deputados/QuemSao, 12a Legislatura, situacaoDeputado=1)",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=19&situacaoDeputado=1 ; https://www2.alerj.rj.gov.br/biblioteca/assets/documentos/pdf/legislaturas/deputados/12aLegislatura.pdf
12,Dionisio Lins,fim_regular,2023-01-31,"Em exercicio (ALERJ, Deputados/QuemSao, 12a Legislatura, situacaoDeputado=1)",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=19&situacaoDeputado=1 ; https://www2.alerj.rj.gov.br/biblioteca/assets/documentos/pdf/legislaturas/deputados/12aLegislatura.pdf
12,Dr. Deodalto,fim_regular,2023-01-31,"Em exercicio (ALERJ, Deputados/QuemSao, 12a Legislatura, situacaoDeputado=1)",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=19&situacaoDeputado=1 ; https://www2.alerj.rj.gov.br/biblioteca/assets/documentos/pdf/legislaturas/deputados/12aLegislatura.pdf
12,Eliomar Coelho,fim_regular,2023-01-31,"Em exercicio (ALERJ, Deputados/QuemSao, 12a Legislatura, situacaoDeputado=1)",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=19&situacaoDeputado=1 ; https://www2.alerj.rj.gov.br/biblioteca/assets/documentos/pdf/legislaturas/deputados/12aLegislatura.pdf
12,Enfermeira Rejane,fim_regular,2023-01-31,"Em exercicio (ALERJ, Deputados/QuemSao, 12a Legislatura, situacaoDeputado=1)",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=19&situacaoDeputado=1 ; https://www2.alerj.rj.gov.br/biblioteca/assets/documentos/pdf/legislaturas/deputados/12aLegislatura.pdf
12,Filipe Soares,fim_regular,2023-01-31,"Em exercicio (ALERJ, Deputados/QuemSao, 12a Legislatura, situacaoDeputado=1)",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=19&situacaoDeputado=1 ; https://www2.alerj.rj.gov.br/biblioteca/assets/documentos/pdf/legislaturas/deputados/12aLegislatura.pdf
12,Filippe Poubel,fim_regular,2023-01-31,"Em exercicio (ALERJ, Deputados/QuemSao, 12a Legislatura, situacaoDeputado=1)",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=19&situacaoDeputado=1 ; https://www2.alerj.rj.gov.br/biblioteca/assets/documentos/pdf/legislaturas/deputados/12aLegislatura.pdf
12,Flavio Serafini,fim_regular,2023-01-31,"Em exercicio (ALERJ, Deputados/QuemSao, 12a Legislatura, situacaoDeputado=1)",https://www.alerj.rj.gov.br/Deputados/QuemSao?legislatura=19&situacaoDeputado=1 ; https://www2.alerj.rj.gov.br/biblioteca/assets/documentos/pdf/legislaturas/deputados/12aLegislatura.pdf
