legislatura,nome,condicao,ev_chave,ev_forte,ev_data,ev_origem,ultima_exerc,ult_licenciado,chegou_ao_fim_exerc,ev_contradito,forma_saida,aplicado,motivo
20,ROMERO ALBUQUERQUE,titular,licenca,FALSE,2026-05-28,do,2026-08-25,FALSE,TRUE,TRUE,,FALSE,serie mostra exercicio depois da data do ato
20,ROMERO SALES FILHO,titular,licenca,FALSE,2023-11-01,do,2026-08-25,FALSE,TRUE,TRUE,,FALSE,serie mostra exercicio depois da data do ato
20,ROSA AMORIM,titular,licenca,FALSE,2024-08-29,do,2026-08-25,FALSE,TRUE,TRUE,,FALSE,serie mostra exercicio depois da data do ato
20,SILENO GUEDES,titular,licenca,FALSE,2023-11-01,do,2026-08-25,FALSE,TRUE,TRUE,,FALSE,serie mostra exercicio depois da data do ato
20,SOCORRO PIMENTEL,titular,licenca,FALSE,2025-06-05,do,2026-08-25,FALSE,TRUE,TRUE,,FALSE,serie mostra exercicio depois da data do ato
20,WALDEMAR BORGES,titular,falecimento,TRUE,2026-07-04,do,2026-06-16,TRUE,TRUE,FALSE,falecimento,TRUE,aplicado
20,WILLIAM BRIGIDO,titular,licenca,FALSE,2024-04-23,do,2026-08-25,FALSE,TRUE,TRUE,,FALSE,serie mostra exercicio depois da data do ato
20,DIOGO MORAES,suplente,renuncia,FALSE,2025-04-10,do,2026-08-25,FALSE,TRUE,TRUE,,FALSE,serie mostra exercicio depois da data do ato
20,JUNIOR MATUTO,suplente,licenca,FALSE,2026-06-02,do,2026-08-25,FALSE,TRUE,TRUE,,FALSE,serie mostra exercicio depois da data do ato
14,Augusto Coutinho,titular,licenca,FALSE,2000-10-03,noticia,2003-01-16,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
14,Eudo Magalhães,titular,cassacao,FALSE,2000-06-07,noticia,2002-11-01,FALSE,TRUE,TRUE,fim_regular,FALSE,serie mostra exercicio depois da data do ato
