"tabela","id_mandato","nome","forma","achou","url","trecho","url_2","trecho_2","data_evento","precisao"
"eventos_governos_fonte_oficial.csv","M1998_CE_3_45_600000603000451","TASSO RIBEIRO JEREISSATI","renuncia",TRUE,"http://www.al.ce.gov.br/edicoes-inesp/download/1193","Eleito, em 1998, vice-governador na chapa de Tasso Jereissati, exerceu este cargo de maneira plena. Com a renúncia do titular para concorrer à vaga no Senado Federal, Beni Veras assumiu o Governo do Estado, no período de 5 de abril de 2002 a 1° de janeiro de 2003.",NA,NA,"2002-04-05","ato"
"eventos_governos_fonte_oficial.csv","M1998_MA_3_25_100001003000251","ROSEANA SARNEY MURAD","renuncia",FALSE,NA,NA,NA,NA,"2002-04-05",NA
"eventos_governos_fonte_oficial.csv","M1998_MA_4_251_100001004002511","JOSÉ REINALDO CARNEIRO TAVARES","assumiu_titular",FALSE,NA,NA,NA,NA,"2002-04-05",NA
"eventos_governos_fonte_oficial.csv","M2002_AL_3_40_202","RONALDO AUGUSTO LESSA SANTOS","renuncia",FALSE,NA,NA,NA,NA,"2006-03-31",NA
"eventos_governos_fonte_oficial.csv","M2002_AL_4_40_203","LUIS ABILIO DE SOUSA NETO","assumiu_titular",FALSE,NA,NA,NA,NA,"2006-03-31",NA
"eventos_governos_fonte_oficial.csv","M2002_DF_4_15_1594","MARIA DE LOURDES ABADIA","assumiu_titular",TRUE,"https://www.sinj.df.gov.br/sinj/BaixarArquivoDiario.aspx?id_file=c76c5a31-bf9c-3970-b700-bc376e7c8ff1","JOAQUIM DOMINGOS RORIZ Governador MARIA DE LOURDES ABADIA Vice-Governadora (cabeçalho do Diário Oficial do Distrito Federal, Seção I, Ano XL, Nº 64, Brasília-DF, sexta-feira, 31 de março de 2006)","https://www.sinj.df.gov.br/sinj/BaixarArquivoDiario.aspx?id_file=b09f1c32-1350-333c-86eb-d2c3261bd75d","MARIA DE LOURDES ABADIA Governadora (cabeçalho do Diário Oficial do Distrito Federal, Seção I, Ano XL, Nº 66, Brasília-DF, terça-feira, 4 de abril de 2006)","2006-03-31","intervalo"
"eventos_governos_fonte_oficial.csv","M2002_MS_4_13_730","EGON KRAKHECKE","fim_regular",FALSE,NA,NA,NA,NA,"2006-12-31",NA
"eventos_governos_fonte_oficial.csv","M2006_AP_3_12_10081","ANTONIO WALDEZ GÓES DA SILVA","renuncia",TRUE,"https://seadantigo.portal.ap.gov.br/diario/DOEn4709.pdf","Antônio Waldez Góes da Silva Governador Pedro Paulo Dias de Carvalho Vice-Governador Macapá-Amapá 31 de Março de 2010 -Quarta feira Circulação: 31.03.2010 às 17:00h Tiragem: 800 exemplares com 32 páginas N° 4709","https://seadantigo.portal.ap.gov.br/diario/DOEn4710.pdf","Macapá-Amapá Pedro Paulo Dias de Carvalho 05 de Abril de 2010 - Segunda feira Governador Circulação: 07.04.2010 às 15:00h Tiragem: 800 exemplares com 28 páginas N° 4710","2010-04-03","intervalo"
"eventos_governos_fonte_oficial.csv","M2006_AP_4_12_10082","PEDRO PAULO DIAS DE CARVALHO","assumiu_titular",TRUE,"https://seadantigo.portal.ap.gov.br/diario/DOEn4709.pdf","Antônio Waldez Góes da Silva Governador Pedro Paulo Dias de Carvalho Vice-Governador Macapá-Amapá 31 de Março de 2010 -Quarta feira Circulação: 31.03.2010 às 17:00h Tiragem: 800 exemplares com 32 páginas N° 4709","https://seadantigo.portal.ap.gov.br/diario/DOEn4710.pdf","Macapá-Amapá Pedro Paulo Dias de Carvalho 05 de Abril de 2010 - Segunda feira Governador Circulação: 07.04.2010 às 15:00h Tiragem: 800 exemplares com 28 páginas N° 4710","2010-04-03","intervalo"
"eventos_governos_fonte_oficial.csv","M2006_MA_3_12_10095","JACKSON KEPLER LAGO","cassacao",TRUE,"https://memoria.ebc.com.br/agenciabrasil/noticia/2009-04-16/tse-confirma-cassacao-de-jackson-lago-e-posse-de-roseana-sarney-no-governo-do-maranhao","O Tribunal Superior Eleitoral rejeitou hoje (16) à noite recursos contra a cassação dos mandatos do governador do Maranhão, Jackson Lago (PDT), e de seu vice, Luís Carlos Porto, decretada em 4 de março último.",NA,NA,"2009-04-16","ato"
